Regulator,Regulon_Size,Network_Connectivity,Betweenness_Centrality,Size_Normalized,Connectivity_Normalized,Globalness_Score,Classification,Percentile_Rank,Strength
ArcA,2788,0.5632984061433823,1.0,1.0,0.979935604832422,0.9899678024162111,Global,1.0,Strong
NsrR,2730,0.5748320638270017,1.0,0.9791965566714491,1.0,0.9895982783357246,Global,0.8571428571428571,Strong
NarL,2642,0.5548733145039282,1.0,0.9476327116212339,0.9652789908931033,0.9564558512571686,Global,0.7142857142857143,Strong
NarP,2538,0.5251580626015335,1.0,0.9103299856527977,0.9135851940917169,0.9119575898722573,Intermediate,0.5714285714285714,Strong
Fnr,2549,0.4831373147066551,1.0,0.9142754662840746,0.8404842824704668,0.8773798743772707,Intermediate,0.42857142857142855,Strong
TtrR,1621,0.43554548945559896,1.0,0.5814203730272597,0.75769171008992,0.6695560415585898,Local,0.2857142857142857,Moderate
DcuR,1737,0.3876521381088563,1.0,0.6230272596843616,0.6743745912989327,0.6487009254916472,Local,0.14285714285714285,Moderate
