,ArcA,DcuR,Fnr,NarL,NarP,NsrR,TtrR
ArcA,0.0,0.041187298665439485,0.05641330166270784,0.13908118313404658,0.10796754732681506,0.14197019867549668,0.07667887667887668
DcuR,0.041187298665439485,0.0,0.15091299677765843,0.04435964703076556,0.05114334890582739,0.041744402985074626,0.058304443744090766
Fnr,0.05641330166270784,0.15091299677765843,0.0,0.06264073694984647,0.06578671694950765,0.06819101578308377,0.07919254658385093
NarL,0.13908118313404658,0.04435964703076556,0.06264073694984647,0.0,0.11015859408486926,0.12833438353287124,0.070298769771529
NarP,0.10796754732681506,0.05114334890582739,0.06578671694950765,0.11015859408486926,0.0,0.11681153275386899,0.07329032258064516
NsrR,0.14197019867549668,0.041744402985074626,0.06819101578308377,0.12833438353287124,0.11681153275386899,0.0,0.07778053009660639
TtrR,0.07667887667887668,0.058304443744090766,0.07919254658385093,0.070298769771529,0.07329032258064516,0.07778053009660639,0.0
