Regulator,Regulon_Size,Network_Connectivity,Betweenness_Centrality,Size_Normalized,Connectivity_Normalized,Globalness_Score,Classification,Percentile_Rank,Strength
Fnr,57,0.25623582766439906,1.0,0.5588235294117647,1.0,0.7794117647058824,Global,1.0,Strong
NarP,102,0.08163265306122448,0.5,1.0,0.3185840707964602,0.6592920353982301,Global,0.8571428571428571,Moderate
TtrR,17,0.1746031746031746,0.5,0.16666666666666666,0.6814159292035399,0.42404129793510326,Global,0.7142857142857143,Moderate
NarL,49,0.0,0.0,0.4803921568627451,0.0,0.24019607843137256,Intermediate,0.5714285714285714,Weak
ArcA,26,0.0,0.0,0.2549019607843137,0.0,0.12745098039215685,Intermediate,0.42857142857142855,Weak
NsrR,7,0.0,0.0,0.06862745098039216,0.0,0.03431372549019608,Local,0.2857142857142857,Weak
DcuR,6,0.0,0.0,0.058823529411764705,0.0,0.029411764705882353,Local,0.14285714285714285,Weak
